start,end,text
203.56,205.66,young teacher mean
205.66,209.7,cheerleader life
210.08,215.22,m teacher m cheerleader
215.78,219.6,teacher s don t school cheerleaders
220.68,222.7,rocker mean girls
223.54,227.56,don t worry teacher won t ask cheerleaders
227.56,229.76,understand
230.96,233.54,teacher idea
233.54,239.3,mean girls feel bad don t control anymore
239.36,243.78,don t girls cheerleaders m mean girls
243.78,245.4,harm lives
245.72,247.26,won t allow
247.82,251.01,harms students
251.38,256.44,girls starting tomorrow school cheerleading team
256.64,258.16,girls yay
258.7,259.8,narrator day
260.04,261.2,cheerleaders fired
261.2,262.24,sizzling
262.24,264.26,turning heat
264.4,268.54,comes sport team t beat
268.72,270.42,teacher wonderful girls
270.42,273.38,best cheerleading team world
273.66,277.58,rocker teacher best teacher world
278.04,279.06,narrator hi friends
279.22,282.36,haven t seen unboxing house
282.42,285.54,used school
285.54,289.56,house soooo bigger house time
289.56,293.62,haven t seen ll leave link description
293.7,297.72,go watch house pretty
298.06,300.78,m pretty excited
300.78,304.3,comes s open
305.16,307.7,wow luckily comes built
307.9,310.72,move sides front
313.1,314.52,wow
314.52,316.48,house super big
316.48,318.84,thing
319.36,322.04,barely fits camera screen
322.48,325.18,beautiful crystal doors
325.32,327.84,think balcony go
327.88,330.25,ll finish opening
330.25,331.61,comes box
331.61,333.72,think goes front
333.72,337.18,ooh comes lot decorations garden
337.8,341.66,comes elegant chandelier mansions
341.98,343.46,balconies
343.64,345.12,s start building
345.54,347.02,goes front
347.14,350.5,s balcony little doors
350.66,354.12,think putting plants elegant
354.42,357.86,floor floor
358.16,362.56,floor picture box m
362.6,366.68,music
367.02,370.7,front decorations
371.82,373.8,forgot balconies roof
373.94,379.44,roof balcony promise decorating front house
379.54,385.06,music continues
385.2,389.84,beautiful lamp showed earlier lights
389.88,392.12,house
392.62,397.16,close front entrance
397.26,399.74,think s m
404.3,406.38,house doesn t come furniture
406.54,410.4,m calico critter furniture
410.8,415.24,add furniture think wallpaper curtains nice
415.64,418.68,curtains m use roll lace
418.68,420.7,m add hot glue
420.82,424.76,comes fun attaching curtains window
425.38,429.56,ll add corner center corner
429.76,436.26,music
436.3,437.04,woohoo
437.04,438.88,house
439.02,440.92,added wallpaper curtains
440.92,444.62,m zoom curtains lace
450.08,452.44,ready furniture
452.44,455.88,baby room crib
455.88,460.48,closet comes drawers open
463.74,466.07,comes pieces clothing
466.08,468.42,baby s room
468.96,471.88,closet baby album
472.82,475.26,rug
475.8,480.3,haha little baby toilet baby learns go bathroom
480.52,484.08,ducky baby ball
484.08,486.48,thing missing baby
486.52,490.16,haha love calico critter s babies
490.92,493.36,decorate ana maria s room
493.48,495.84,ll start piece furniture
495.98,499.76,m add books stuffed animals
502.48,506.26,m exactly
506.32,508.48,add twin beds
511.74,515.72,middle m night stand
515.92,517.66,picture clock
518.26,520.28,ooh
521.2,525.12,thing m add basket books
525.12,527.68,s ana maria s room turned
527.86,534.42,music
534.64,537.12,s move guest room
537.2,541.12,room big bed ladder
541.24,542.96,little table bench
546.96,549.76,s move master bedroom
550.1,552.02,big bed
554.16,558.94,vanity bench finally add wardrobe
561.28,564.48,ana maria s parent s bedroom
568.14,570.02,work toy room
570.34,573.58,add slide little horse
573.92,575.96,add piano
576.18,578.62,s piano bench
578.62,580.44,order
580.7,583.78,m using toys came calico critter s toy shop
583.98,586.74,haven t seen adventure toy shop
586.74,590.72,m leave link description box go watch
591.26,592.9,play kitchen
593.26,595.88,chalkboard draw
595.88,598.0,s mansion s toy room
598.28,611.06,music
611.32,614.0,s decorate dining room
614.12,616.7,ah doesn t fall
617.44,619.46,little plate pizza
619.86,621.06,s table
621.4,622.78,s table
624.44,626.4,chair baby eats
629.74,632.36,think room
632.7,633.92,ll hint
633.92,637.52,didn t fit house told comments
637.52,638.62,forgot
639.14,642.46,happened wasn't room
644.0,645.68,s room
645.74,646.74,yay
646.78,649.44,start shower shower curtain
649.76,651.9,corner
652.48,656.34,thing toilet lid seat open
657.16,659.04,corner
659.7,662.56,roll toilet paper
663.28,665.86,add piece furniture
666.74,672.0,add sink cabinet doors open pipes haha
672.68,677.14,hand soap toothbrushes
677.56,679.72,finally add tub
682.64,684.82,house bathroom
685.52,687.86,s time decorate family room
688.08,689.68,s start corner
689.88,692.5,add cabinet tv
693.08,696.16,comfortable sofa couches
696.36,702.38,music
702.56,706.06,add fireplace
707.94,713.84,desk books chair
714.06,719.22,music continues
719.34,724.0,wants warm s add table chairs
724.14,727.76,final touch s add picture frame
728.34,731.08,ooh love house turned
731.08,732.54,gorgeous
732.74,741.76,music
741.88,743.9,finally kitchen
744.42,748.96,house fridge didn t fit fit
751.24,754.38,sink armoire
756.4,760.34,stove coffeemaker blender
760.54,762.4,thing bread
762.4,765.34,marmalade jars
766.62,771.7,toaster little thing
771.9,775.1,mansion s kitchen
776.9,781.66,finally terrace isn t room house
781.66,783.18,decorate
783.44,789.14,decorated table chairs pitcher lemonade cups
789.32,792.08,wallpaper used scrapbook paper
